# PAYLOAD_MANIFEST.txt — the machine-readable manifest of everything the
# press stages into a DMG.  It is the SOURCE the press stages FROM and the
# SET the gate inspects AGAINST: tools/manifest_check.py drives the press's
# data-dir list from this file, prunes data/extracted to it, and fails the
# press on any staged path this file does not name.
#
# Written 2026-08-23 for SQA BUILD-4 (the L2 gate passed on a keyword and
# never opened the payload) and BUILD-5 (payload the notices called "NOT
# redistributed" was in the DMG).  Before it, L2 credited a whole 102 MB
# directory because the unrelated string "84000" occurred in the notices.
#
# Columns are separated by ' | '. No quoting; no field may contain
# a '|'. Lines beginning with '#' are comments.
#   mode      both / team / drop
#             both = ships in team AND market DMGs
#             team = TEAM DMG ONLY; a market press that finds it FAILS
#             drop = present in the repo tree, deliberately NOT staged.
#                    tools/manifest_check.py --prune-extracted removes these
#                    from the staged data/extracted tree and prints each one.
#   status    ok / itemise / gated
#             ok       = terms recorded and settled
#             itemise  = shipping under SHIP.md's blanket "data/extracted:
#                        SHIPS-WITH-ATTRIBUTION, pending the per-file
#                        itemization"; the per-file terms are NOT yet recorded
#             gated    = SHIP.md names a human decision still open for it
#             A market press FAILS on any staged `itemise` or `gated` row.
#             A team press prints them as notes and continues.
#   path      relative to the DMG root.  A trailing "/" covers the whole
#             subtree.  "*" globs within one path component.
#   licence   SPDX id where one is recorded, else the recorded status phrase.
#   anchor    a substring that MUST occur in OPEN_SOURCE_NOTICES.md, or "-"
#             for the files that ARE the licence/notice documents.
#   provenance  where the licence claim comes from, so a reader can check it.
#
# mode | status | path | licence | anchor | provenance
both | ok | Diamond Cutter Translation Tool.app/ | see Contents/Resources/licenses/BUNDLED_COMPONENTS.tsv | Bundled binary components | tools/bundle_licenses.py enumerates every Mach-O in the bundle to its Homebrew formula, version and SPDX id at press time and fails the press on any it cannot map
both | ok | README.txt | ALL's own text | - | written by tools/package_macos.sh
both | ok | OPEN_SOURCE_NOTICES.md | ALL's own text | - | docs/distribution/OPEN_SOURCE_NOTICES.md
both | ok | LICENSE | ALL's own text | - | the repository root LICENSE, added 2026-08-23 (SQA BUILD-2: the project had no licence file)
both | gated | Diamond Cutter Tool Data/build/hgm_spine_*.db | ALL/ACIP internal data; team distribution | The dictionary and corpus | SHIP.md L1 open item 1 - Adam's written stance on redistributing the HGM release package
both | ok | BUILD_MANIFEST.txt | ALL's own build record | The dictionary and corpus | written by tools/build_manifest.py each press
both | ok | BUILD_MANIFEST.json | ALL's own build record | The dictionary and corpus | ditto
both | ok | Diamond Cutter Tool Data/build/spine_current.txt | ALL's own text; OPTIONAL - the press stages it only when built | The dictionary and corpus | tools/build_spine.py writes it
team | ok | Diamond Cutter Tool Data/build/reference.db | unlicensed third-party compilations - LOCAL REFERENCE ONLY, never redistributed | compiled into build/reference.db | SHIP.md L1: "P0 MUST-REMOVE(market)"; tools/build_reference_db.py header
both | ok | Diamond Cutter Tool Data/tools/build_spine.py | ALL's own code | The dictionary and corpus | this repository
both | ok | Diamond Cutter Tool Data/docs/analysis/PASSAGE_ANALYSIS_TEMPLATE.md | ALL's own text | The dictionary and corpus | this repository
both | ok | Diamond Cutter Tool Data/library/ocr_models/ | CC-BY-NC-4.0 | BDRC line-detection model | docs/licenses/BDRC_OCR_permission.md + SHIP.md free-distribution ruling 2026-08-22
both | ok | Diamond Cutter Tool Data/data/das/das_1902_bookmarked.pdf | public domain (published 1902) | Das, *Tibetan-English Dictionary* | SHIP.md L1 row: data/das (Das 1902 PDF), published 1902, public domain, SHIPS
