# id	kind	status	proposer	created	wylie	value	field	evidence	approver	ruled	comment
pronunciation-2026-08-09-1	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skabs 'dir	kamdir		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabdir; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-2	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skabs 'dir dngos su bstan pa'i mtshan nyid ngo bo nyid med pa'i don	kamdir ngu-su tenpay tsennyi ngowo nyimepay dun		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabdir ngu-su tenpay tsennyi ngowo nyimepay dun; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-3	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skabs 'dir bstan	kamdir ten		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabdir ten; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-4	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skabs 'dir bstan gyi yid mngon	kamdir ten gyi yingun		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kabdir ten gyi yingun; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-5	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	skyabs 'gro'i sdom pa	kyamdroy dompa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdroy dompa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-6	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug	kyamjuk		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjuk; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-7	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'jug pa	kyamjukpa		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabjukpa; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-8	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	khyab 'brel	kyamdrel		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says kyabdrel; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-9	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	grub 'jug gi blo	drumjuk gi lo		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says drupjuk gi lo; review sheet docs/PRENASAL_REGISTER.md			
pronunciation-2026-08-09-10	pronunciation	pending	prenasal derivation engine (machine)	2026-08-09	rgyab 'bol	gyambul		machine-derived: b(s)-coda prenasal collapses to m keeping its labial place (HGM: SKABS 'DIR = kamdir), located by prefix-pronunciation alignment against the corpus; engine baseline says gyabbul; review sheet docs/PRENASAL_REGISTER.md			
