course,wylie,acip,tibetan_generated,pronunciation_generated,english,occurrences_in_course,depth,tier
C01,gsum,GSUM,གསུམ,sum,three,31,5,"TENTATIVE (machine-matched, unreviewed)"
C01,nges 'byung,NGES 'BYUNG,ངེས་འབྱུང,ngenjung,renunciation,31,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tshe 'di,TSE 'DI,ཚེ་འདི,tsendi,this life,20,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rten 'brel,RTEN 'BREL,རྟེན་འབྲེལ,tendrel,interdependence,18,5,"TENTATIVE (machine-matched, unreviewed)"
C01,tsong kha pa,TZONG KHA PA,ཙོང་ཁ་པ,tsongkapa,Tsongkapa,18,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dang,,དང,dang,and,17,6,"TENTATIVE (machine-matched, unreviewed)"
C01,thar pa,THAR PA,ཐར་པ,tarpa,freedom,17,5,"TENTATIVE (machine-matched, unreviewed)"
C01,thams cad,THAMS CAD,ཐམས་ཅད,tamche,all,16,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lam,LAM,ལམ,lam,path,15,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chen po,CHEN PO,ཆེན་པོ,chenpo,great,14,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ma,MA,མ,ma,never,14,6,"TENTATIVE (machine-matched, unreviewed)"
C01,dgos,DGOS,དགོས,gu,must,13,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chos,CHOS,ཆོས,chu,spiritual practice,12,5,"TENTATIVE (machine-matched, unreviewed)"
C01,mi,MI,མི,mi,never,12,6,"TENTATIVE (machine-matched, unreviewed)"
C01,rje,RJE,རྗེ,je,Lord,12,5,"TENTATIVE (machine-matched, unreviewed)"
C01,chos,CHOS,ཆོས,chu,practice,11,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lam,LAM,ལམ,lam,the path,11,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gnyis,GNYIS,གཉིས,nyi,two,10,5,"TENTATIVE (machine-matched, unreviewed)"
C01,kun,KUN,ཀུན,kun,all,10,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lta ba,LTA BA,ལྟ་བ,tawa,view,10,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sgrub pa,SGRUB PA,སྒྲུབ་པ,druppa,practice,10,5,"TENTATIVE (machine-matched, unreviewed)"
C01,snang shas,SNANG SHAS,སྣང་ཤས,nangshe,desire,10,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lam gtso,LAM GTZO,ལམ་གཙོ,lamtso,principal paths,9,5,"TENTATIVE (machine-matched, unreviewed)"
C01,mi,MI,མི,mi,not,9,6,"TENTATIVE (machine-matched, unreviewed)"
C01,snying rje,SNYING RJE,སྙིང་རྗེ,nyingje,compassion,9,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bsod nams,BSOD NAMS,བསོད་ནམས,sunam,merit,8,5,"TENTATIVE (machine-matched, unreviewed)"
C01,lam,LAM,ལམ,lam,paths,8,5,"TENTATIVE (machine-matched, unreviewed)"
C01,ma,MA,མ,ma,not,8,6,"TENTATIVE (machine-matched, unreviewed)"
C01,sdug bsngal,SDUG BSNGAL,སྡུག་བསྔལ,dungel,suffering,8,5,"TENTATIVE (machine-matched, unreviewed)"
C01,'khor ba,'KHOR BA,འཁོར་བ,korwa,the circle of life,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,bla ma,BLA MA,བླ་མ,lama,a lama,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,blos,BLOS,བློས,lu,on,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,byang chub,BYANG CHUB,བྱང་ཆུབ,jangchub,Buddhahood,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dal 'byor,DAL 'BYOR,དལ་འབྱོར,delnjor,leisure and fortune,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dgos,DGOS,དགོས,gu,have to,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,dgyes pa,DGYES PA,དགྱེས་པ,gyepa,pleases,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,gos,GOS,གོས,gu,clothes,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,jo bo,JO BO,ཇོ་བོ,jowo,Lord Atisha,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,mi,MI,མི,mi,n't,7,6,"TENTATIVE (machine-matched, unreviewed)"
C01,rgyal ba,RGYAL BA,རྒྱལ་བ,gyelwa,the Victors,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,rim pa,RIM PA,རིམ་པ,rimpa,Steps,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sangs rgyas,SANGS RGYAS,སངས་རྒྱས,sangye,the Buddha,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,sdug bsngal,SDUG BSNGAL,སྡུག་བསྔལ,dungel,pain,7,5,"TENTATIVE (machine-matched, unreviewed)"
C01,snying rje chen po,SNYING RJE CHEN PO,སྙིང་རྗེ་ཆེན་པོ,nyingje chenpo,great compassion,7,5,"TENTATIVE (machine-matched, unreviewed)"
