wylie,acip,tibetan_generated,pronunciation_generated,in_acip_index,english,kind,depth,occurrences,courses,n_courses,refs,first_ref,tier,rule,generated_columns,source_corpus,source_pages,generator,layer_date
the asian classics institute,,ཐེ་ཨསིན་ཅླསྶིཅས་ཨིནྶྟིཏུཏེ,tee clein,no,The Asian Classics Institute Course I: The Principal Teachings of Buddhism Level One of The Steps to Buddhahood (Lam Rim) Course Syllabus,translation,1,1,C01,1,C01:22,C01:22,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
the asian classics institute,,ཐེ་ཨསིན་ཅླསྶིཅས་ཨིནྶྟིཏུཏེ,tee clein,no,The Asian Classics Institute Course II: Buddhist Refuge Level One of the Perfection of Wisdom (Prajna Paramita) Course Syllabus,translation,1,1,C02,1,C02:22,C02:22,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
the asian classics institute,,ཐེ་ཨསིན་ཅླསྶིཅས་ཨིནྶྟིཏུཏེ,tee clein,no,The Asian Classics Institute Course II: Buddhist Refuge…,translation,1,1,C02,1,C02:22,C02:22,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
the asian classics institute,,ཐེ་ཨསིན་ཅླསྶིཅས་ཨིནྶྟིཏུཏེ,tee clein,no,"The Asian Classics Institute Course III: Applied Meditation Level Two of The Steps to Buddhahood (Lam Rim) Course Syllabus Readings One and Two Subject: The Six Preliminaries to Meditation, and the Seven Ingredients Reading: Je Tsongkapa's Great Book on the Steps of the Path, folios 37a--40a, a commentary upon selections from the King of All Prayers, the Prayer of the Realized One, Deeds of All Goodness, folios 198b-199a A Thousand Angels of the Heaven of Bliss",translation,1,1,C03,1,C03:22,C03:22,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
the asian classics institute,,ཐེ་ཨསིན་ཅླསྶིཅས་ཨིནྶྟིཏུཏེ,tee clein,no,Asian Classics Institute Course IV: The Proof of Future Lives Level one of the tradition of Buddhist Logic and Perception (Pramana) Course Syllabus,translation,1,1,C04,1,C04:22,C04:22,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
the asian classics institute,,ཐེ་ཨསིན་ཅླསྶིཅས་ཨིནྶྟིཏུཏེ,tee clein,no,The Asian Classics Institute Course V: How Karma Works Level One of Higher Knowledge (Abhidharma) Course Syllabus,translation,1,1,C05,1,C05:22,C05:22,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
'bras bu bzang po sangs rgyas kyi sar 'gro ba las gzhan du 'khyogs med pas lam bzang po zhes pa de lta bu la bya dgos,,འབྲས་བུ་བཟང་པོ་སངས་རྒྱས་ཀྱི་སར་འགྲོ་བ་ལས་གཞན་དུ་འཁྱོགས་མེད་པས་ལམ་བཟང་པོ་ཞེས་པ་དེ་ལྟ་བུ་ལ་བྱ་དགོས,drebu sangpo sangye kyi sarndrowa le shen du kyokmepe lamsangpo shepa de tabu la jagu,no,"If we do all this we will win a good goal, for we will have found what the verse calls the ""good road"": the path that leads to the land of Enlightenment, the path that never wanders someplace else.",translation,1,1,C03,1,C03:567,C03:567,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
'bras bu lam du byed pa sogs yod pa'i cha nas nyan thos dang rang rgyal dang byang chub sems dpa'i theg pa kun gyi mchog tu gyur pa gsang sngags rdo rje'i theg pa la 'jug dgos shing,,འབྲས་བུ་ལམ་དུ་བྱེད་པ་སོགས་ཡོད་པའི་ཆ་ནས་ཉན་ཐོས་དང་རང་རྒྱལ་དང་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཀུན་གྱི་མཆོག་ཏུ་གྱུར་པ་གསང་སྔགས་རྡོ་རྗེའི་ཐེག་པ་ལ་འཇུག་དགོས་ཤིང,drebu lam du jepa sokyupay cha ne nyentu dang rangyel dang jangchub sempay tekpa kun gyi choktu gyurpa sangngak dojey tekpa la juku shing,no,"When this time has come you must surely enter the ""Way of the Diamond""; which is to say, this Way of the Secret Word. It is the highest of all the ""different ways""--the ways of the listeners, the self-made Buddhas, and the bodhisattvas.84 What makes the Diamond Way higher is that it has certain unique features, such as using the goal of practice as a path to the goal.",translation,1,1,C03,1,C03:517,C03:517,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
'brom rgyal ba'i 'byung gnas kyi rang rgyud bskul 'debs las gsungs pa sogs ltar yang nas yang du bsams te tshe 'di'i snang shas ldog thabs la 'bad cing,,འབྲོམ་རྒྱལ་བའི་འབྱུང་གནས་ཀྱི་རང་རྒྱུད་བསྐུལ་འདེབས་ལས་གསུངས་པ་སོགས་ལྟར་ཡང་ནས་ཡང་དུ་བསམས་ཏེ་ཚེ་འདིའི་སྣང་ཤས་ལྡོག་ཐབས་ལ་འབད་ཅིང,dromgyelway jungne kyi rangyu kulndep le sungpa soktar yang ne yang du sam te tsendiy nangshe doktap la beching,no,"Contemplate on these quotations, and on works like the verses by Drom Gyalway Jungne, where he urges himself to perfect his practice.66 Think them over constantly, and try your hardest to follow the instructions on how to give up living for this life.",translation,1,1,C03,1,C03:454,C03:454,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
"'byung ba'i lus nyid 'ba' zhig las skye ba min te, rigs 'dra snga ma las skyes pa'i phyir",,འབྱུང་བའི་ལུས་ཉིད་འབའ་ཞིག་ལས་སྐྱེ་བ་མིན་ཏེ། རིགས་འདྲ་སྔ་མ་ལས་སྐྱེས་པའི་ཕྱིར,jungway lunyi bashik le kyewa minte rikndra nga male kyepay chir,no,"Nor are these things only something born from the body, with its elements, alone; for they have come from something of their own type that came before them.",translation,1,1,C04,1,C04:147,C04:147,"TENTATIVE (machine-matched, unreviewed)","English is HGM's corpus text verbatim, machine-MATCHED never composed; never enters hgm_gloss","tibetan_generated = generated-ewts-v27-1; pronunciation_generated = generated GMR-convention phonetics. Both computed from the wylie, not attested in the layer.",hgm_spine_v27_2 corpus_segments C01+C02+C03+C04+C05,"banked pages, 5 course(s) (sha256 5d828734142df0ff)",build_alignment_layer.py; source analyses credited on pages and in campaign ledgers,2026-09-14
