# anusvara keying sweep 2026-08-14 — mantra syllables keyed with plain final M
# (candidates for anusvara per Release IV conventions; DATA-PROJECT review — no engine/data edit here)
syllable	count	sample_course	sample_seq	sample_context
H'UM	1512	C14	193	,H'Um H'Um YI DAM CHEN PO RDZU 'PHRUL BSKYED, ,DZ:DZ:DGRA BO 'DI NI DAM LA THOGS, ,PHAt PH
LAM	346	C01	40	, , RDO RJE 'CHANG PHA BONG KHA PA DPAL BZANG POS LAM GTZO'I ZAB BZHI PA LTA BA'I DPYAD PA
BAM	76	TCS04Initiation	158	AOm MUD GA RA DZA:, AOm DAndA H'Um, AOm PADMA BAm, AOm KHAd GA HO:
SUM	50	C07	269	,DE LA SBYOR BA PHUN SUM TSOGS PA NI, THOG MAR TSUL KHRIMS DAG 'BRAL BAR MI BYED CING SGO 
HUM	34	TCS04Initiation	48	AOm AARGHAm A’A: H’Um^, AOm P’ADYAm A’A: H’Um^, AOm GANDHE A’A: H’Um^, AOm PUshPE A’A: H’U
YAM	31	TCS04Initiation	75	AOm YA M'ANTA KA SA MA YA, MA NU P'A LA YA, YA M'ANTA KA TVE NO PA TIshthA, DRi dHO ME BHA
HRIM	29	TCS07	139	DE NAS, RANG GI GNAS RNAMS SU ZLA BA'I DKYIL 'KHOR GYI STENG DU, LTE BAR AOm BAm DMAR MO R
KHAM	24	C08	31	CI'I PHYIR 'DOD KHAMS ZHES BYA ZHE NA, 'DOD PA DANG LDAN PA'I KHAMS YIN PAS NA DE SKAD CES
PAM	17	TCS04Initiation	80	RANG GI SPYI BOR PAm LAS PAD+MA DANG A LAS ZLA BA'I DKYIL 'KHOR GYI STENG DU H'Um LAS RDO 
RAM	14	C01	451	SKYABS YUL BDE MYUR LTAR RAM 'DI'I TSOGS ZHING LTAR GANG BYED KYANG CHOG, BDUD RTZI 'OD ZE
MAM	13	C07	116	SEMS BSKYED NAS BYANG SEMS KYI BSLAB PA BZUNG STE KHAS LEN BYAS PA LTAR TSUL KHRIMS GSUM M
TAM	12	C03	468	,KHAS LEN TAM LA RAB TU DPA' BA YIS, ,DAM BCAS RAB TU 'DOR BA PHAL BA'I PHAL, ,RANG GIS CI
TRAM	7	TCS07	19	STONG PA'I NGANG LAS YAm LAS RLUNG, RAm LAS ME, A'A: LAS MI MGO'I SGYED BU GSUM GYI STENG 
VAM	3	TCS07	178	RANG GI GNAS RNAMS SU ZLA BA'I DKYIL 'KHOR GYI STENG DU, LTE BAR AOm VAm DMAR MO RDO RJE P
AM	2	TCS12	230	STONG PA NYID DU GYUR, STONG PA'I NGANG LAS Ym LAS RLUNG , Rm LAS ME, A'A:LAS MI MGO'I SGY
OM	1	P4	2	Om SWA STI
DZAM	1	TITLS	2209	CHOS SDE CHEN PO DGE 'PHEL DGA' LDAN CHOS MDZOD GLING GI DKAR CHAG DZAM BU N'A DA'I 'KHRI 
