rank	corpus_freq	phonetic_gmr	wylie	hgm_gloss
1	6483	kyang	kyang	but; as well; and yet; nonetheless; however; though; although; too; even if; moreover; instead though; absolutely; even 
2	4022	tamche	thams cad	every; all; every single; each and every; every form of; each of these; every one of; every ... every; any; every sort; 
3	3416	mayin	ma yin	not; are not; they are not; is not; is not this way; it's no; cannot; which is not; doesn't; never; would not be; it's n
4	3306	shing	zhing	paradise; world (in rnam dag zhing: the Pure World)
5	2732	yinpay	yin pa'i	which are
6	2579	sangye	sangs rgyas	Buddha; Buddhahood (contextually)
7	2269	rang gi	rang gi	my; your; their own; one's own; her own; that you own; my ... my; his; my own; i; its; their; you and i have taken; its 
8	2253	rangshin	rang bzhin	the basic nature; natural; basic nature; in its very essence; particular; is made of; nature; natures; nature of their o
9	2217	jangchub	byang chub	enlightenment
10	2208	lasok	la sogs	and the like; or such; and the rest; including; and such
11	2206	dedak	de dag	ones; them; this; these; such; they; certain; s; those; they--these; some; these ... them; the number of the different t
12	2190	mepa	med pa	's not; no; having no; lost; there would be nothing; without; has no; never; not; have none; lack of any; are not; what 
13	2185	deshin	de bzhin	just so; the very same process then occurs; another; is just as; the same as; same; just the same; as well; thus; same p
14	2125	dangpo	dang po	the former; the first; beginning; first; begin; first step; the firs; very beginning; the first part; at first; the firs
15	2095	nying	snying	heart; hearts; heart in their breast
16	2068	detar	de ltar	thus; all this; in this way; so; this is how; and the same; this; this kind of; above we spoke of; the same thing; on; r
17	2049	yinpay chir	yin pa'i phyir	for ... whereas; was; this is because; they do fit; there are; for it is; it is a; for they are first of all; as; for th
18	2021	ching	cing	and; or else; ,; .; ing; already; while; someday; even where; :; the one; they; who would; but; or; before
19	2001	doje	rdo rje	diamond
20	1985	semchen	sems can	sentient beings; living beings; being; someone; person; beings; living being; sentient being; living kind; living creatu
21	1979	de la	de la	now; for the kind of; here; here then; kinds; that consisting of; into; towards them; where again; then; of this; be sai
22	1930	mepar	med par	without; no longer; free of; is not; devoid of; no longer exists; have no; could never; is not something that exists; th
23	1899	shin du	bzhin du	proper behavior
24	1801	nelnjor	rnal 'byor	the practice; practice; practitioners; practitioner; high practitioner; person engaged in deep practice; deep practice
25	1784	nampar	rnam par	forming; careful; finished; total; altogether
26	1617	nyipa	gnyis pa	secondly; second section; here next; the second; second; next; latter; consist of two; the second part; second point; in
27	1600	dungel	sdug bsngal	suffering; sufferings
28	1596	jawa	bya ba	to accomplish; should; performing deeds; activities; to engage; task; must be; has to; the activities; make; do; commiss
29	1531	kyepar	khyad par	details; attributes; difference; especially; distinction; differences; specific characteristics; detail; in particular; 
30	1518	chenpo	chen po	the great; well; great; major; greater; fierce; vast; total; most; immense; major instance; overwhelming; "major" instan
31	1500	tsennyi	mtshan nyid	definition; defining characteristics; nature; the definition; definitive characteristics; attribute; definitive; attribu
32	1492	chuchen	chos can	consider now; consider; example; object; things that exhibit the quality; subject; let's consider; consider ... consider
33	1434	yinpar	yin par	are
34	1429	lama	bla ma	lama; Lama
35	1409	jikten	'jig rten	world; world's; realms; planet; life; the world; one in the world; those in the world; everyday life; worlds; general be
36	1409	sungpa	gsungs pa	spoke; spoken; says; texts; state; described; quoting; it is stated; mentioned; have said; are taught in scripture; as w
37	1392	yupa	yod pa	is; be; is had; present; be had; with; occurrences; are; have; who are; there are; comes; had; has; lies; consisted; liv
38	1357	ngupo	dngos po	things; functional things; functioning thing; thing; working things; something; something that functioned; functional ob
39	1351	yinpa	yin pa	is; as; are; it does ... is; was; it's ... it's; is ... is; represent; be; appears; would be; are ... are; are they; has
40	1331	yeshe	ye shes	wisdom
41	1327	kyewa	skye ba	births; lives; form; growing; their births; gain it; be present; developing; to develop; gain; formation; birth; the bir
42	1273	yangdak	yang dag	correctly; correct; yangdak; pure; reality
43	1267	de yang	de yang	though; we may begin with; moreover; and; having thus explained; when; at the; by the way; those; then; for example; so 
44	1265	ngowo	ngo bo	nature; basic nature; materials; essence; the way; its very nature; essentially; very essence; basic object; very nature
45	1249	jitar	ji ltar	what; finally; how; how to; how could; how can; why is it then that; just like; why; how could it ever be; how can they;
46	1239	madrup	ma grub	mistaken; does not exist; do not; not true; is not; or not; does not hold true; did not exist; do not exist; it's not tr
47	1223	tabu	lta bu	this kind of; as though; this way; as; the same; like; resemble; similar; the shape of; a case of; are the size of; an e
48	1221	yinno	yin no	:; are
49	1215	yinpe	yin pas	does; is; it is
50	1128	gangsak	gang zag	persons; person; the person; type of person; people; the type of person; another; individual; beings; normal person; ind
51	1114	de ni	de ni	when; and then; these; that this; it is the one; them's; it is stated; this; this is the one that's; this position; in t
52	1101	denyi	de nyid	reality (in de nyid rtogs pa'i shes rab); thusness; this very / just such (pronominal use)
53	1095	dangnden	dang ldan	gain; have; find; do possess; maintaining; possess; with; have the ability; was possessed of; has; posseses; linked with
54	1073	yin te	yin te	they are; it is; this is
55	1070	dangche	dang bcas	their; along with their; also have; have; with; is colored by; also; come with; linked
56	1067	chomnden	bcom ldan	victorious one; victor
57	1065	dewa	bde ba	bliss; state of happiness; happiness; pleasant feeling; great pleasure; to be happy; pleasure; what you want; any kind o
58	1065	she na	zhe na	correct perception
59	1054	parje	par byed	you've
60	1053	deshin shek	de bzhin gshegs	thus gone
61	1052	drebu	'bras bu	effect; a result; goal; rewards; an effect; result; the goal; reward; consequences; fruit; goals; results; consequence; 
62	1052	de ne	de nas	next; the next step; after that; then; followed by; next,; still another; finally; of this; this leads to; at this point
63	1039	nyunmong	nyon mongs	mental afflictions; the mental afflictions; bad thoughts; negative; affliction; mental affliction; afflictions; mentally
64	1037	sokpa	sogs pa	accumulation; and all the other; or the like; the rest"; for example; and so on; like; such as; and the rest
65	1029	lasokpa	la sogs pa	and others of the like; like; and all the rest; or the like; and so on; any; and the like; in other; various; and other 
66	1025	chomnden de	bcom ldan 'das	the transcendent victor; victorious buddha; victor; the conquerors; the victorious ones; lord buddha; conqueror; conquer
67	1017	parja	par bya	far as i am
68	1012	dundam	don dam	ultimate; ultimate truth; the ultimate; ultimate object; ultimate type
69	995	shintu	shin tu	absolutely; high state of; extremely; very; most; totally; overcome [pari ta]; ever so; purest; exceedingly; utterly; es
70	985	rangshin gyi	rang bzhin gyis	through some nature of its own; by nature; nature of their own; any nature of its own; exist by nature; natural; through
71	974	nampa	rnam pa	types; different types; totally; exist with; kinds; forms; them; aspects; these; different kinds; some; point of view; p
72	966	ko na	kho na	only; alone; just; just about; real; one specific; o other way; no other way; but only; one; exactly; no one else; each;
73	960	sheja	zhes bya	every living creature
