english,wylie,acip,tibetan_generated,pronunciation_generated,depth,occurrences,courses,refs,tier
and,dang,,དང,dang,6,175,C01 C02 C03 C04 C05,C01:105 C01:116 C01:125 C01:133 C01:152 C01:36 C01:485 C01:488 C01:489 C01:61 C01:62 C01:64 C01:72 C01:78 C01:79 C01:84 C01:89 C02:31 C02:32 C02:33 C02:34 C02:38 C02:39 C02:40 C02:48 C02:49 C02:52 C02:55 C02:66 C03:171 C03:176 C03:178 C03:183 C03:189 C03:27 C03:28 C03:29 C03:290 C03:292 C03:299 C03:314 C03:322 C03:350 C03:39 C03:439 C03:442 C03:445 C03:456 C03:494 C03:500 C03:509 C03:512 C03:517 C03:518 C03:52 C03:523 C03:532 C03:535 C03:544 C03:545 C03:548 C03:562 C03:571 C03:572 C03:574 C03:575 C03:589 C03:591 C03:593 C03:596 C03:604 C03:616 C04:100 C04:108 C04:113 C04:128 C04:191 C04:193 C04:27 C04:33 C04:37 C04:42 C04:52 C04:55 C04:58 C04:60 C04:64 C04:65 C04:66 C04:77 C04:82 C04:88 C04:94 C04:96 C05:102 C05:103 C05:104 C05:106 C05:115 C05:116 C05:120 C05:126 C05:133 C05:134 C05:136 C05:141 C05:145 C05:146 C05:147 C05:160 C05:165 C05:168 C05:172 C05:175 C05:177 C05:178 C05:180 C05:192 C05:195 C05:208 C05:213 C05:215 C05:221 C05:225 C05:226 C05:227 C05:229 C05:231 C05:232 C05:234 C05:237 C05:238 C05:240 C05:241 C05:248 C05:25 C05:251 C05:253 C05:259 C05:263 C05:264 C05:265 C05:266 C05:270 C05:271 C05:275 C05:276 C05:277 C05:278 C05:279 C05:280 C05:302 C05:307 C05:311 C05:316 C05:327 C05:328 C05:332 C05:333 C05:336 C05:339 C05:342 C05:352 C05:354 C05:355 C05:356 C05:38 C05:42 C05:48 C05:57 C05:67 C05:73 C05:75 C05:83 C05:99,"TENTATIVE (machine-matched, unreviewed)"
and,zhing,ZHING,ཞིང,shing,6,25,C01 C03 C05,C01:31 C01:36 C03:186 C05:186 C05:232 C05:255 C05:256 C05:257 C05:262 C05:263 C05:266 C05:267 C05:270 C05:274 C05:279 C05:281 C05:284 C05:286 C05:287 C05:288 C05:294 C05:297 C05:300 C05:308 C05:312,"TENTATIVE (machine-matched, unreviewed)"
and,la,LA,ལ,la,6,6,C03 C05,C03:383 C05:272 C05:317 C05:318 C05:319 C05:50,"TENTATIVE (machine-matched, unreviewed)"
and,cing,,ཅིང,ching,6,5,C03 C05,C03:444 C05:116 C05:182 C05:291 C05:91,"TENTATIVE (machine-matched, unreviewed)"
and,shing,SHING,ཤིང,shing,6,5,C02 C03 C05,C02:51 C02:67 C03:502 C05:208 C05:80,"TENTATIVE (machine-matched, unreviewed)"
and,dang bcas pa,DANG BCAS PA,དང་བཅས་པ,dangchepa,5,2,C01,C01:63 C01:64,"TENTATIVE (machine-matched, unreviewed)"
and,yang,YANG,ཡང,yang,6,1,C05,C05:273,"TENTATIVE (machine-matched, unreviewed)"
and,nas,NAS,ནས,ne,6,1,C05,C05:267,"TENTATIVE (machine-matched, unreviewed)"
and,gyi,,གྱི,gyi,6,1,C05,C05:269,"TENTATIVE (machine-matched, unreviewed)"
and,rnams,RNAMS,རྣམས,nam,6,1,C02,C02:56,"TENTATIVE (machine-matched, unreviewed)"
and,te,,ཏེ,te,6,1,C03,C03:256,"TENTATIVE (machine-matched, unreviewed)"
and,dang,,དང,dang,7,1,C03,C03:437,"TENTATIVE (machine-matched, unreviewed)"
not,ma,MA,མ,ma,6,53,C01 C02 C03 C04 C05,C01:105 C01:165 C01:185 C01:189 C01:205 C01:47 C01:68 C01:79 C02:36 C02:57 C02:66 C02:68 C03:380 C03:397 C03:418 C03:426 C04:121 C04:184 C04:27 C04:42 C04:47 C04:49 C04:55 C04:96 C05:121 C05:169 C05:203 C05:225 C05:226 C05:244 C05:246 C05:259 C05:260 C05:262 C05:263 C05:266 C05:269 C05:270 C05:277 C05:278 C05:279 C05:280 C05:285 C05:286 C05:288 C05:289 C05:291 C05:298 C05:307 C05:309 C05:312 C05:314 C05:346,"TENTATIVE (machine-matched, unreviewed)"
not,mi,MI,མི,mi,6,27,C01 C03 C04 C05,C01:111 C01:117 C01:119 C01:149 C01:164 C01:165 C01:174 C01:29 C01:83 C03:185 C03:186 C03:207 C03:227 C03:372 C03:407 C03:425 C03:470 C03:493 C04:174 C04:47 C05:173 C05:174 C05:189 C05:226 C05:277 C05:303 C05:344,"TENTATIVE (machine-matched, unreviewed)"
not,ma,MA,མ,ma,5,16,C03 C04 C05,C03:438 C03:537 C03:615 C04:128 C04:161 C04:163 C04:182 C04:58 C04:80 C04:82 C05:116 C05:143 C05:166 C05:167 C05:50 C05:62,"TENTATIVE (machine-matched, unreviewed)"
not,med,MED,མེད,me,5,15,C01 C03 C04 C05,C01:109 C01:79 C03:346 C03:425 C04:127 C04:146 C04:159 C04:49 C04:54 C05:214 C05:287 C05:304 C05:62 C05:63 C05:80,"TENTATIVE (machine-matched, unreviewed)"
not,mi,MI,མི,mi,5,14,C03 C04 C05,C03:455 C03:466 C03:542 C04:128 C04:157 C04:175 C04:23 C04:59 C04:73 C05:109 C05:136 C05:144 C05:50 C05:87,"TENTATIVE (machine-matched, unreviewed)"
